leftLeg_px,leftLeg_py,leftLeg_pz,leftLeg_rx,leftLeg_ry,leftLeg_rz,leftLegJ_px,leftLegJ_py,leftLegJ_pz,leftLegJ_rx,leftLegJ_ry,leftLegJ_rz,rightLeg_px,rightLeg_py,rightLeg_pz,rightLeg_rx,rightLeg_ry,rightLeg_rz,rightLegJ_px,rightLegJ_py,rightLegJ_pz,rightLegJ_rx,rightLegJ_ry,rightLegJ_rz,leftArm_px,leftArm_py,leftArm_pz,leftArm_rx,leftArm_ry,leftArm_rz,leftArmJ_px,leftArmJ_py,leftArmJ_pz,leftArmJ_rx,leftArmJ_ry,leftArmJ_rz,rightArm_px,rightArm_py,rightArm_pz,rightArm_rx,rightArm_ry,rightArm_rz,rightArmJ_px,rightArmJ_py,rightArmJ_pz,rightArmJ_rx,rightArmJ_ry,rightArmJ_rz,chest_px,chest_py,chest_pz,chest_rx,chest_ry,chest_rz,body_px,body_py,body_pz,body_rx,body_ry,body_rz
0.0,0.0,0.0,-4.483143974207977,0.0,0.0,0.0,0.0,0.0,4.483143974207977,0.0,0.0,0.0,0.0,0.0,4.483143974207977,0.0,0.0,0.0,0.0,0.0,-0.747190662367996,0.0,0.0,0.0,0.0,0.0,4.483143974207977,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-4.483143974207977,0.0,0.0,0.0,0.0,0.0,-5.977525298943968,0.0,0.0,0.0,0.0,0.0,0.0,-1.494381324735992,0.0,0.0,-0.007471906623679961,-9.94,0.0,0.0,0.0
0.0,0.0,0.0,-4.927569929714429,0.0,0.0,0.0,0.0,0.0,4.927569929714429,0.0,0.0,0.0,0.0,0.0,4.927569929714429,0.0,0.0,0.0,0.0,0.0,-0.8212616549524049,0.0,0.0,0.0,0.0,0.0,4.927569929714429,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-4.927569929714429,0.0,0.0,0.0,0.0,0.0,-6.570093239619239,0.0,0.0,0.0,0.0,0.0,0.0,-1.6425233099048098,0.0,0.0,-0.008212616549524049,-9.934,0.0,0.0,0.0
0.0,0.0,0.0,-5.370887202774726,0.0,0.0,0.0,0.0,0.0,5.370887202774726,0.0,0.0,0.0,0.0,0.0,5.370887202774726,0.0,0.0,0.0,0.0,0.0,-0.8951478671291209,0.0,0.0,0.0,0.0,0.0,5.370887202774726,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-5.370887202774726,0.0,0.0,0.0,0.0,0.0,-7.161182937032967,0.0,0.0,0.0,0.0,0.0,0.0,-1.7902957342582417,0.0,0.0,-0.008951478671291209,-9.928,0.0,0.0,0.0
0.0,0.0,0.0,-5.812996048872658,0.0,0.0,0.0,0.0,0.0,5.812996048872658,0.0,0.0,0.0,0.0,0.0,5.812996048872658,0.0,0.0,0.0,0.0,0.0,-0.9688326748121097,0.0,0.0,0.0,0.0,0.0,5.812996048872658,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-5.812996048872658,0.0,0.0,0.0,0.0,0.0,-7.750661398496877,0.0,0.0,0.0,0.0,0.0,0.0,-1.9376653496242193,0.0,0.0,-0.009688326748121097,-9.922,0.0,0.0,0.0
0.0,0.0,0.0,-6.253796995382987,0.0,0.0,0.0,0.0,0.0,6.253796995382987,0.0,0.0,0.0,0.0,0.0,6.253796995382987,0.0,0.0,0.0,0.0,0.0,-1.0422994992304977,0.0,0.0,0.0,0.0,0.0,6.253796995382987,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-6.253796995382987,0.0,0.0,0.0,0.0,0.0,-8.338395993843982,0.0,0.0,0.0,0.0,0.0,0.0,-2.0845989984609954,0.0,0.0,-0.01042299499230498,-9.916,0.0,0.0,0.0
0.0,0.0,0.0,-6.693190863952363,0.0,0.0,0.0,0.0,0.0,6.693190863952363,0.0,0.0,0.0,0.0,0.0,6.693190863952363,0.0,0.0,0.0,0.0,0.0,-1.1155318106587273,0.0,0.0,0.0,0.0,0.0,6.693190863952363,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-6.693190863952363,0.0,0.0,0.0,0.0,0.0,-8.924254485269818,0.0,0.0,0.0,0.0,0.0,0.0,-2.2310636213174546,0.0,0.0,-0.011155318106587273,-9.91,0.0,0.0,0.0
0.0,0.0,0.0,-7.131078792814037,0.0,0.0,0.0,0.0,0.0,7.131078792814037,0.0,0.0,0.0,0.0,0.0,7.131078792814037,0.0,0.0,0.0,0.0,0.0,-1.188513132135673,0.0,0.0,0.0,0.0,0.0,7.131078792814037,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-7.131078792814037,0.0,0.0,0.0,0.0,0.0,-9.508105057085384,0.0,0.0,0.0,0.0,0.0,0.0,-2.377026264271346,0.0,0.0,-0.01188513132135673,-9.904,0.0,0.0,0.0
0.0,0.0,0.0,-7.567362259031341,0.0,0.0,0.0,0.0,0.0,7.567362259031341,0.0,0.0,0.0,0.0,0.0,7.567362259031341,0.0,0.0,0.0,0.0,0.0,-1.2612270431718904,0.0,0.0,0.0,0.0,0.0,7.567362259031341,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-7.567362259031341,0.0,0.0,0.0,0.0,0.0,-10.089816345375123,0.0,0.0,0.0,0.0,0.0,0.0,-2.5224540863437808,0.0,0.0,-0.012612270431718904,-9.898,0.0,0.0,0.0
0.0,0.0,0.0,-8.001943100664935,0.0,0.0,0.0,0.0,0.0,8.001943100664935,0.0,0.0,0.0,0.0,0.0,8.001943100664935,0.0,0.0,0.0,0.0,0.0,-1.3336571834441557,0.0,0.0,0.0,0.0,0.0,8.001943100664935,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-8.001943100664935,0.0,0.0,0.0,0.0,0.0,-10.669257467553246,0.0,0.0,0.0,0.0,0.0,0.0,-2.6673143668883115,0.0,0.0,-0.013336571834441558,-9.892,0.0,0.0,0.0
0.0,0.0,0.0,-8.434723538858822,0.0,0.0,0.0,0.0,0.0,8.434723538858822,0.0,0.0,0.0,0.0,0.0,8.434723538858822,0.0,0.0,0.0,0.0,0.0,-1.4057872564764704,0.0,0.0,0.0,0.0,0.0,8.434723538858822,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-8.434723538858822,0.0,0.0,0.0,0.0,0.0,-11.246298051811763,0.0,0.0,0.0,0.0,0.0,0.0,-2.811574512952941,0.0,0.0,-0.014057872564764705,-9.886,0.0,0.0,0.0
